BP_Enemy_C_0 X=4283.347 Y=3845.215 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.23
BP_Citizen_C_8 X=4357.765 Y=3853.425 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.24
BP_Citizen_C_8 X=4364.409 Y=3832.442 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.24
BP_Enemy_C_2 X=4318.044 Y=3777.871 Z=261.325, BP_Citizen_C_2 X=4260.621 Y=3803.971 Z=255.000, 2024.05.08-16.16.27
BP_Enemy_C_2 X=4307.206 Y=3777.403 Z=261.325, BP_Citizen_C_8 X=4362.195 Y=3825.299 Z=255.000, 2024.05.08-16.16.33
BP_Enemy_C_0 X=4274.699 Y=3832.901 Z=261.250, BP_Citizen_C_8 X=4362.195 Y=3825.299 Z=255.000, 2024.05.08-16.16.33
BP_Enemy_C_0 X=4294.901 Y=3836.564 Z=261.250, BP_Citizen_C_8 X=4362.195 Y=3825.299 Z=255.000, 2024.05.08-16.16.34
BP_Enemy_C_2 X=4328.439 Y=3783.620 Z=261.325, BP_Citizen_C_12 X=4345.714 Y=4195.753 Z=255.000, 2024.05.08-16.16.43
BP_Enemy_C_2 X=4328.571 Y=3786.760 Z=261.325, BP_Citizen_C_12 X=4352.774 Y=4187.814 Z=255.000, 2024.05.08-16.16.43
BP_Enemy_C_2 X=4329.435 Y=3801.640 Z=261.325, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.43
BP_Enemy_C_2 X=4337.561 Y=3851.721 Z=261.325, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.44
BP_Enemy_C_2 X=4340.863 Y=3867.774 Z=261.325, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.44
BP_Enemy_C_0 X=4311.020 Y=3841.388 Z=261.250, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.44
BP_Enemy_C_2 X=4352.605 Y=3929.969 Z=261.325, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.44
BP_Enemy_C_0 X=4323.509 Y=3875.403 Z=261.250, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.44
BP_Enemy_C_2 X=4363.016 Y=3989.296 Z=261.325, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.44
BP_Enemy_C_0 X=4340.938 Y=3929.474 Z=261.250, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.44
BP_Enemy_C_2 X=4372.067 Y=4047.368 Z=261.325, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.45
BP_Enemy_C_0 X=4356.071 Y=3985.417 Z=261.250, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.45
BP_Enemy_C_2 X=4375.844 Y=4104.529 Z=261.325, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.45
BP_Enemy_C_0 X=4367.589 Y=4041.686 Z=261.250, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.45
BP_Enemy_C_0 X=4358.831 Y=4097.150 Z=261.250, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.46
BP_Enemy_C_2 X=4374.011 Y=4125.640 Z=261.325, BP_Broch_C_0 X=4177.500 Y=4222.500 Z=255.000, 2024.05.08-16.16.56
BP_Enemy_C_0 X=4350.578 Y=4125.313 Z=261.250, BP_Citizen_C_12 X=4361.725 Y=4177.749 Z=255.000, 2024.05.08-16.16.56
BP_Enemy_C_2 X=4352.085 Y=4157.653 Z=261.325, BP_Citizen_C_7 X=3986.315 Y=4291.850 Z=255.000, 2024.05.08-16.16.56
BP_Enemy_C_2 X=4352.085 Y=4157.653 Z=261.325, BP_Citizen_C_7 X=3986.315 Y=4291.850 Z=255.000, 2024.05.08-16.16.56
BP_Citizen_C_7 X=3991.412 Y=4292.360 Z=263.750, BP_Enemy_C_2 X=4352.085 Y=4157.653 Z=255.000, 2024.05.08-16.16.56
BP_Citizen_C_7 X=3991.412 Y=4292.360 Z=263.750, BP_Enemy_C_0 X=4350.578 Y=4125.313 Z=255.000, 2024.05.08-16.16.56
BP_Enemy_C_0 X=4351.240 Y=4126.892 Z=261.250, BP_Citizen_C_7 X=3986.888 Y=4286.116 Z=255.000, 2024.05.08-16.16.56
BP_Citizen_C_7 X=3991.539 Y=4266.193 Z=263.750, BP_Enemy_C_0 X=4339.950 Y=4132.480 Z=255.000, 2024.05.08-16.16.56
BP_Enemy_C_2 X=4308.476 Y=4163.924 Z=261.325, BP_Citizen_C_7 X=3989.405 Y=4251.321 Z=255.000, 2024.05.08-16.16.56
BP_Enemy_C_0 X=4326.526 Y=4136.690 Z=261.250, BP_Citizen_C_7 X=3989.405 Y=4251.321 Z=255.000, 2024.05.08-16.16.56
BP_Citizen_C_7 X=4029.835 Y=4206.661 Z=263.750, BP_Enemy_C_0 X=4280.001 Y=4148.852 Z=255.000, 2024.05.08-16.16.57
BP_Enemy_C_2 X=4228.815 Y=4171.463 Z=261.325, BP_Citizen_C_7 X=4041.895 Y=4193.374 Z=255.000, 2024.05.08-16.16.57
BP_Enemy_C_0 X=4267.441 Y=4148.449 Z=261.250, BP_Citizen_C_7 X=4041.895 Y=4193.374 Z=255.000, 2024.05.08-16.16.57
BP_Citizen_C_7 X=4073.888 Y=4182.295 Z=263.750, BP_Enemy_C_0 X=4220.505 Y=4149.452 Z=255.000, 2024.05.08-16.16.57
BP_Enemy_C_2 X=4167.889 Y=4180.608 Z=261.325, BP_Citizen_C_7 X=4080.549 Y=4176.734 Z=255.000, 2024.05.08-16.16.57
BP_Enemy_C_0 X=4206.235 Y=4152.550 Z=261.250, BP_Citizen_C_7 X=4080.549 Y=4176.734 Z=255.000, 2024.05.08-16.16.57
BP_Enemy_C_2 X=4160.327 Y=4180.705 Z=261.325, BP_Citizen_C_7 X=4084.194 Y=4173.457 Z=255.000, 2024.05.08-16.16.57
BP_Citizen_C_7 X=4093.286 Y=4164.884 Z=263.750, BP_Enemy_C_0 X=4174.046 Y=4154.760 Z=255.000, 2024.05.08-16.16.57
BP_Enemy_C_0 X=4172.788 Y=4158.157 Z=261.250, BP_Citizen_C_7 X=4100.550 Y=4162.386 Z=255.000, 2024.05.08-16.16.57
BP_Citizen_C_3 X=3798.830 Y=4398.561 Z=263.650, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.16.59
BP_Citizen_C_3 X=3821.837 Y=4379.070 Z=263.650, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.16.59
BP_Citizen_C_3 X=3855.414 Y=4350.574 Z=263.650, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.16.59
BP_Citizen_C_9 X=3740.347 Y=4110.238 Z=263.750, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.16.59
BP_Citizen_C_3 X=3892.561 Y=4306.463 Z=263.650, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.16.59
BP_Citizen_C_9 X=3748.173 Y=4109.354 Z=263.750, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.16.59
BP_Citizen_C_9 X=3760.449 Y=4113.992 Z=263.750, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.16.59
BP_Citizen_C_3 X=3930.579 Y=4265.090 Z=263.650, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.17.00
BP_Citizen_C_9 X=3801.257 Y=4129.256 Z=263.750, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.17.00
BP_Citizen_C_3 X=3971.933 Y=4227.162 Z=263.650, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.17.00
BP_Citizen_C_9 X=3854.302 Y=4147.628 Z=263.750, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.17.00
BP_Citizen_C_3 X=4018.824 Y=4194.272 Z=263.650, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.17.01
BP_Citizen_C_9 X=3908.007 Y=4163.877 Z=263.750, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.17.01
BP_Citizen_C_3 X=4062.761 Y=4187.299 Z=263.650, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.17.01
BP_Citizen_C_9 X=3950.299 Y=4165.262 Z=263.750, BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=255.000, 2024.05.08-16.17.01
BP_Enemy_C_2 X=4144.498 Y=4179.202 Z=261.325, BP_Citizen_C_3 X=4085.105 Y=4183.027 Z=255.000, 2024.05.08-16.17.01
BP_Citizen_C_9 X=3989.669 Y=4163.442 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.01
BP_Citizen_C_9 X=4025.644 Y=4152.673 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.02
BP_Citizen_C_9 X=4072.821 Y=4143.500 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.02
BP_Citizen_C_9 X=4098.868 Y=4138.791 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.03
BP_Enemy_C_0 X=4167.396 Y=4159.785 Z=261.250, BP_Citizen_C_3 X=4088.294 Y=4185.240 Z=255.000, 2024.05.08-16.17.12
BP_Enemy_C_0 X=4163.311 Y=4158.532 Z=261.250, BP_Citizen_C_3 X=4088.294 Y=4185.240 Z=255.000, 2024.05.08-16.17.12
BP_Enemy_C_0 X=4139.753 Y=4165.042 Z=261.250, BP_Citizen_C_3 X=4088.294 Y=4185.240 Z=255.000, 2024.05.08-16.17.12
BP_Citizen_C_9 X=4116.074 Y=4132.653 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.22
BP_Citizen_C_9 X=4117.968 Y=4163.685 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.22
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.23
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.23
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.23
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.24
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.24
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.25
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.25
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.25
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.26
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.26
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.27
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.27
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.27
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.28
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.28
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.29
